locationid,TypesofArt,Amount,site,room,publicaccess,description,unitposition,objectid,title_x,displaydate_x,creditline_x,classification_x,iiifthumburl,constituentid,displayorder,role,visualbrowsernationality,forwarddisplayname,visualbrowsernationality.1,title_y,beginyear,medium,creditline_y,classification_y
8354,painting,1,West Building,M-033,1,West Main Floor Gallery 33,S,112629,The Martyrdom of Saint Gennaro,c. 1685,Patrons' Permanent Fund,Painting,"https://api.nga.gov/iiif/05d70ba8-5283-44eb-92df-b8e286cf4217/full/!200,200/0/default.jpg",9661,1,painter,Italian,Mattia Preti,Italian,The Martyrdom of Saint Gennaro,1685,oil on canvas,Patrons' Permanent Fund,Painting
8354,painting,1,West Building,M-033,1,West Main Floor Gallery 33,S,226639,A Man Cutting Tobacco,1660s,"Patrons' Permanent Fund, Pepita Milmore Memorial Fund, and New Century Fund",Painting,"https://api.nga.gov/iiif/3040e4c8-111b-495c-bae2-a76efd4d8154/full/!200,200/0/default.jpg",9661,1,artist,Italian,Mattia Preti,Italian,A Man Cutting Tobacco,1660,oil on canvas,"Patrons' Permanent Fund, Pepita Milmore Memorial Fund, and New Century Fund",Painting
8355,painting,1,West Building,M-033,1,West Main Floor Gallery 33,W,46108,Venus Adorned by the Graces,1590/1595,Samuel H. Kress Collection,Painting,"https://api.nga.gov/iiif/700e56ab-0d96-4ae7-92a7-7e815447d187/full/!200,200/0/default.jpg",1096,1,artist,Italian,Annibale Carracci,Italian,Venus Adorned by the Graces,1590,oil on panel transferred to canvas,Samuel H. Kress Collection,Painting
8357,painting,1,West Building,M-034,1,West Main Floor Gallery 34,E,87,Pope Innocent X,c. 1650,Andrew W. Mellon Collection,Painting,"https://api.nga.gov/iiif/da9c1054-627f-4caf-bbdc-4faf97a779a8/full/!200,200/0/default.jpg",13,1,painter,Other,Anonymous Artist,Other,Pope Innocent X,1650,oil on canvas,Andrew W. Mellon Collection,Painting
8357,painting,1,West Building,M-034,1,West Main Floor Gallery 34,E,1185,Two Women at a Window,c. 1655/1660,Widener Collection,Painting,"https://api.nga.gov/iiif/099e8599-3242-46f4-bf5d-1a2e6032eb13/full/!200,200/0/default.jpg",1744,1,artist,Spanish,Bartolomé Esteban Murillo,Spanish,Two Women at a Window,1655,oil on canvas,Widener Collection,Painting
8357,painting,1,West Building,M-034,1,West Main Floor Gallery 34,E,12209,Saint Lucy,c. 1625/1630,Chester Dale Collection,Painting,"https://api.nga.gov/iiif/5074f3fc-e181-4c76-9c36-247d7c0978fa/full/!200,200/0/default.jpg",1993,1,artist,Spanish,Francisco de Zurbarán,Spanish,Saint Lucy,1625,oil on canvas,Chester Dale Collection,Painting
8358,painting,1,West Building,M-034,1,West Main Floor Gallery 34,N,46190,The Larder,probably c. 1650/1660,Samuel H. Kress Collection,Painting,"https://api.nga.gov/iiif/a8d4c0cb-e506-40ad-8b78-59b3121c4ca7/full/!200,200/0/default.jpg",1949,1,painter,Italian,Anton Maria Vassallo,Italian,The Larder,1650,oil on canvas,Samuel H. Kress Collection,Painting
8359,painting,1,West Building,M-034,1,West Main Floor Gallery 34,S,41703,Saint Jerome with Saint Paula and Saint Eustochium,c. 1640/1650,Samuel H. Kress Collection,Painting,"https://api.nga.gov/iiif/029397e9-0b99-45a8-bbf1-6fc6a0275b80/full/!200,200/0/default.jpg",1993,1,painter,Spanish,Francisco de Zurbarán,Spanish,Saint Jerome with Saint Paula and Saint Eustochium,1640,oil on fabric,Samuel H. Kress Collection,Painting
8360,painting,1,West Building,M-034,1,West Main Floor Gallery 34,W,46174,Still Life with Sweets and Pottery,1627,Samuel H. Kress Collection,Painting,"https://api.nga.gov/iiif/939e38de-4d5f-416b-9cb4-2eea07e58793/full/!200,200/0/default.jpg",1370,1,artist,Spanish,Juan van der Hamen y León,Spanish,Still Life with Sweets and Pottery,1627,oil on canvas,Samuel H. Kress Collection,Painting
8360,painting,1,West Building,M-034,1,West Main Floor Gallery 34,W,102987,Still Life with Artichokes and a Parrot,17th century,"Bequest of Lore Heinemann in memory of her husband, Dr. Rudolf J. Heinemann",Painting,"https://api.nga.gov/iiif/c8c8df36-db7d-4167-aec6-2b1a717b067b/full/!200,200/0/default.jpg",8329,1,painter,Italian,Italian 17th Century,Italian,Still Life with Artichokes and a Parrot,1600,oil on canvas,"Bequest of Lore Heinemann in memory of her husband, Dr. Rudolf J. Heinemann",Painting
8360,painting,1,West Building,M-034,1,West Main Floor Gallery 34,W,300,Still Life with Fruit and Carafe,c. 1610/1620,Samuel H. Kress Collection,Painting,"https://api.nga.gov/iiif/5ca89749-ce03-413a-9b92-cd4582e34ffb/full/!200,200/0/default.jpg",15456,1,painter,French,Pensionante del Saraceni,French,Still Life with Fruit and Carafe,1610,oil on canvas,Samuel H. Kress Collection,Painting
8360,painting,1,West Building,M-034,1,West Main Floor Gallery 34,W,111627,Still Life with Figs and Bread,c. 1770,Patrons' Permanent Fund,Painting,"https://api.nga.gov/iiif/ce3b93db-19f3-47c2-bbe8-2914619e86ee/full/!200,200/0/default.jpg",24053,1,painter,Spanish,Luis Meléndez,Spanish,Still Life with Figs and Bread,1770,oil on canvas,Patrons' Permanent Fund,Painting
8362,painting,1,West Building,M-035,1,West Main Floor Gallery 35,E,3199,Portrait of a Nobleman,c. 1570,Chester Dale Collection,Painting,"https://api.nga.gov/iiif/fed0d8c0-6d9d-458e-873a-d74077668d35/full/!200,200/0/default.jpg",2829,1,artist,French,French 16th Century,French,Portrait of a Nobleman,1570,oil on fir or pine,Chester Dale Collection,Painting
8362,painting,1,West Building,M-035,1,West Main Floor Gallery 35,E,33750,A Prince of Saxony,c. 1517,Ralph and Mary Booth Collection,Painting,"https://api.nga.gov/iiif/c13d83bf-6bcf-49d2-ab42-642ff754cae1/full/!200,200/0/default.jpg",1179,1,artist,German,Lucas Cranach the Elder,German,A Prince of Saxony,1517,oil on panel,Ralph and Mary Booth Collection,Painting
8362,painting,1,West Building,M-035,1,West Main Floor Gallery 35,E,33751,A Princess of Saxony,c. 1517,Ralph and Mary Booth Collection,Painting,"https://api.nga.gov/iiif/e074060a-4e8e-4787-b20c-0e1e06b50c6e/full/!200,200/0/default.jpg",1179,1,artist,German,Lucas Cranach the Elder,German,A Princess of Saxony,1517,oil on panel,Ralph and Mary Booth Collection,Painting
8362,painting,1,West Building,M-035,1,West Main Floor Gallery 35,E,46120,Portrait of a Young Man,c. 1520/1530,Samuel H. Kress Collection,Painting,"https://api.nga.gov/iiif/4f19b8fc-4d02-4d7f-8933-647ecabd2326/full/!200,200/0/default.jpg",1400,1,painter,German,Hans Holbein the Younger,German,Portrait of a Young Man,1520,oil on panel,Samuel H. Kress Collection,Painting
8362,painting,1,West Building,M-035,1,West Main Floor Gallery 35,E,204092,Portrait of an Old Woman,1569,Gift of Family of Edith K. Bralove,Painting,"https://api.nga.gov/iiif/8ffb9df7-30e0-4c2e-af87-cc43c63242e6/full/!200,200/0/default.jpg",2795,1,painter,Netherlandish,Maarten de Vos,Netherlandish,Portrait of an Old Woman,1569,oil on panel,Gift of Family of Edith K. Bralove,Painting
8363,painting,1,West Building,M-035,1,West Main Floor Gallery 35,N,3202,Portrait of a Lady,1532,Chester Dale Collection,Painting,"https://api.nga.gov/iiif/6fe68ba1-6d3c-4b43-a731-60aa6091e70d/full/!200,200/0/default.jpg",2835,1,painter,German,German 16th Century,German,Portrait of a Lady,1532,tempera on panel,Chester Dale Collection,Painting
8363,painting,1,West Building,M-035,1,West Main Floor Gallery 35,N,42393,Madonna and Child,probably c. 1535 or after,Gift of Adolph Caspar Miller,Painting,"https://api.nga.gov/iiif/87d50a44-76dc-4847-9a3a-c2c88194b531/full/!200,200/0/default.jpg",1179,1,artist,German,Lucas Cranach the Elder,German,Madonna and Child,1535,oil on panel,Gift of Adolph Caspar Miller,Painting
8363,painting,1,West Building,M-035,1,West Main Floor Gallery 35,N,46081,A Bishop Saint (Burchard of Würzburg?),c. 1515/1520,Samuel H. Kress Collection,Sculpture,"https://api.nga.gov/iiif/2d3caa4c-5cc7-42a3-816f-1a4ebb3fd4c1/full/!200,200/0/default.jpg",2245,1,artist,German,Tilman Riemenschneider,German,A Bishop Saint (Burchard of Würzburg?),1515,linden wood with traces of polychromy,Samuel H. Kress Collection,Sculpture
8364,painting,1,West Building,M-035,1,West Main Floor Gallery 35,S,33756,Margarethe Vöhlin,1527,Ralph and Mary Booth Collection,Painting,"https://api.nga.gov/iiif/fa7b89e1-45cb-42b9-81d1-f0d5fc430a81/full/!200,200/0/default.jpg",1909,1,artist,German,Bernhard Strigel,German,Margarethe Vöhlin,1527,oil on panel,Ralph and Mary Booth Collection,Painting
8364,painting,1,West Building,M-035,1,West Main Floor Gallery 35,S,33753,Hans Roth [obverse],1527,Ralph and Mary Booth Collection,Painting,"https://api.nga.gov/iiif/7e801d53-34e6-4599-939e-79dd92149c03/full/!200,200/0/default.jpg",1909,1,artist,German,Bernhard Strigel,German,Hans Roth [obverse],1527,oil on panel,Ralph and Mary Booth Collection,Painting
8364,painting,1,West Building,M-035,1,West Main Floor Gallery 35,S,33754,Hans Roth [reverse],1527,Ralph and Mary Booth Collection,Painting,"https://api.nga.gov/iiif/b33aa032-5708-4679-90c1-20bee6d00124/full/!200,200/0/default.jpg",1909,1,artist,German,Bernhard Strigel,German,Hans Roth [reverse],1527,oil on panel,Ralph and Mary Booth Collection,Painting
8364,painting,1,West Building,M-035,1,West Main Floor Gallery 35,S,33755,Margarethe Vöhlin,1527,Ralph and Mary Booth Collection,Painting,"https://api.nga.gov/iiif/0bd962a9-fe23-4393-894c-fa01a5bb71c8/full/!200,200/0/default.jpg",1909,1,artist,German,Bernhard Strigel,German,Margarethe Vöhlin,1527,oil on panel,Ralph and Mary Booth Collection,Painting
8364,painting,1,West Building,M-035,1,West Main Floor Gallery 35,S,43716,The Nymph of the Spring,after 1537,Gift of Clarence Y. Palitz,Painting,"https://api.nga.gov/iiif/b4b7c986-2d6a-42f3-8616-a686302e00f8/full/!200,200/0/default.jpg",1179,1,artist,German,Lucas Cranach the Elder,German,The Nymph of the Spring,1537,oil on panel,Gift of Clarence Y. Palitz,Painting
8364,painting,1,West Building,M-035,1,West Main Floor Gallery 35,S,45886,Portrait of a Man,1522,Samuel H. Kress Collection,Painting,"https://api.nga.gov/iiif/50cb1d4a-e974-427e-9089-6476b0a4c5f2/full/!200,200/0/default.jpg",1179,1,artist,German,Lucas Cranach the Elder,German,Portrait of a Man,1522,oil on panel,Samuel H. Kress Collection,Painting
8364,painting,1,West Building,M-035,1,West Main Floor Gallery 35,S,45887,Portrait of a Woman,1522,Samuel H. Kress Collection,Painting,"https://api.nga.gov/iiif/d40b39f2-306d-48ca-8e14-10562e99c3e7/full/!200,200/0/default.jpg",1179,1,artist,German,Lucas Cranach the Elder,German,Portrait of a Woman,1522,oil on panel,Samuel H. Kress Collection,Painting
8365,painting,1,West Building,M-035,1,West Main Floor Gallery 35,W,72,Sir Brian Tuke,c. 1527/1528 or c. 1532/1534,Andrew W. Mellon Collection,Painting,"https://api.nga.gov/iiif/7c06df7a-06da-47fc-93e4-fc35ff83fc50/full/!200,200/0/default.jpg",1400,1,artist,German,Hans Holbein the Younger,German,Sir Brian Tuke,1527,oil on panel,Andrew W. Mellon Collection,Painting
8365,painting,1,West Building,M-035,1,West Main Floor Gallery 35,W,41600,Portrait of a Clergyman (Johann Dorsch?),1516,Samuel H. Kress Collection,Painting,"https://api.nga.gov/iiif/9931c64e-f49b-440b-9ca8-7eea19df3c1f/full/!200,200/0/default.jpg",1256,1,artist,German,Albrecht Dürer,German,Portrait of a Clergyman (Johann Dorsch?),1516,oil on parchment on fabric,Samuel H. Kress Collection,Painting
8365,painting,1,West Building,M-035,1,West Main Floor Gallery 35,W,73,Portrait of a Man,c. 1507,Andrew W. Mellon Collection,Painting,"https://api.nga.gov/iiif/f1f31fa5-b457-4859-8fff-3da617967212/full/!200,200/0/default.jpg",1863,1,painter,German,Hans Leonard Schäufelein,German,Portrait of a Man,1507,oil on panel,Andrew W. Mellon Collection,Painting
8365,painting,1,West Building,M-035,1,West Main Floor Gallery 35,W,65567,A Member of the Fröschl Family,c. 1539/1540,Gift of David Edward Finley and Margaret Eustis Finley,Painting,"https://api.nga.gov/iiif/74eedd32-c21a-46f6-93df-8098844fd1a6/full/!200,200/0/default.jpg",5776,1,artist,German,Hans Mielich,German,A Member of the Fröschl Family,1539,oil on panel,Gift of David Edward Finley and Margaret Eustis Finley,Painting
8365,painting,1,West Building,M-035,1,West Main Floor Gallery 35,W,72072,Portrait of a Member of the Quaratesi Family,1561,Gift of Mrs. Rush Kress in memory of her late husband Rush Kress and in Honor of the 50th Anniversary of the National Gallery of Art,Painting,"https://api.nga.gov/iiif/2eb7cba2-a1f6-480e-99ef-a1cb351db0e0/full/!200,200/0/default.jpg",2829,1,artist,French,French 16th Century,French,Portrait of a Member of the Quaratesi Family,1561,oil on probably oak,Gift of Mrs. Rush Kress in memory of her late husband Rush Kress and in Honor of the 50th Anniversary of the National Gallery of Art,Painting
8367,painting,1,West Building,M-035-A,1,West Main Floor Gallery 35 A,E,46187,Saint Mary Cleophas and Her Family,c. 1520/1528,Samuel H. Kress Collection,Painting,"https://api.nga.gov/iiif/8f87c96b-b72c-4153-a191-666b264f9fac/full/!200,200/0/default.jpg",1909,1,artist,German,Bernhard Strigel,German,Saint Mary Cleophas and Her Family,1520,oil on panel,Samuel H. Kress Collection,Painting
8367,painting,1,West Building,M-035-A,1,West Main Floor Gallery 35 A,E,46188,Saint Mary Salome and Her Family,c. 1520/1528,Samuel H. Kress Collection,Painting,"https://api.nga.gov/iiif/e36deb2f-c228-4b03-b503-c62153f39829/full/!200,200/0/default.jpg",1909,1,artist,German,Bernhard Strigel,German,Saint Mary Salome and Her Family,1520,oil on panel,Samuel H. Kress Collection,Painting
8367,painting,1,West Building,M-035-A,1,West Main Floor Gallery 35 A,E,102628,"The Raising of the Cross [center, left, and right panels]",c. 1480/1490,Patrons' Permanent Fund,Painting,"https://api.nga.gov/iiif/8a1d47f1-cab0-4746-857c-e3fecb0c0149/full/!200,200/0/default.jpg",26156,1,painter,German,Master of the Starck Triptych,German,"The Raising of the Cross [center, left, and right panels]",1480,oil on panel,Patrons' Permanent Fund,Painting
8367,painting,1,West Building,M-035-A,1,West Main Floor Gallery 35 A,E,102629,Saint Catherine [right wing exterior],c. 1480/1490,Patrons' Permanent Fund,Painting,"https://api.nga.gov/iiif/2f431fe3-d517-47af-9d01-de6fbce488b0/full/!200,200/0/default.jpg",26156,1,painter,German,Master of the Starck Triptych,German,Saint Catherine [right wing exterior],1480,oil on panel,Patrons' Permanent Fund,Painting
8367,painting,1,West Building,M-035-A,1,West Main Floor Gallery 35 A,E,102630,Saint Barbara [left wing exterior],c. 1480/1490,Patrons' Permanent Fund,Painting,"https://api.nga.gov/iiif/e8999858-d161-4e7d-83c6-f8ea5ebeeabc/full/!200,200/0/default.jpg",26156,1,painter,German,Master of the Starck Triptych,German,Saint Barbara [left wing exterior],1480,oil on panel,Patrons' Permanent Fund,Painting
8368,painting,1,West Building,M-035-A,1,West Main Floor Gallery 35 A,N,45890,The Ascension,1456/1457,Samuel H. Kress Collection,Painting,"https://api.nga.gov/iiif/644d2492-3c7c-4f1e-ab33-c837edc019c2/full/!200,200/0/default.jpg",1440,1,artist,German,Johann Koerbecke,German,The Ascension,1456,tempera on panel,Samuel H. Kress Collection,Painting
8368,painting,1,West Building,M-035-A,1,West Main Floor Gallery 35 A,N,46161,"Saint Anne with the Christ Child, the Virgin, and Saint John the Baptist",c. 1511,Samuel H. Kress Collection,Painting,"https://api.nga.gov/iiif/5db0c5c0-77d5-4a5d-b368-3faf633abe52/full/!200,200/0/default.jpg",323,1,artist,German,Hans Baldung Grien,German,"Saint Anne with the Christ Child, the Virgin, and Saint John the Baptist",1511,oil on hardboard transferred from panel,Samuel H. Kress Collection,Painting
8369,painting,1,West Building,M-035-A,1,West Main Floor Gallery 35 A,S,46168,The Crucifixion with the Converted Centurion,1536,Samuel H. Kress Collection,Painting,"https://api.nga.gov/iiif/9591f4f7-5344-4a18-9381-89d79c8f4cda/full/!200,200/0/default.jpg",1179,1,artist,German,Lucas Cranach the Elder,German,The Crucifixion with the Converted Centurion,1536,oil on panel,Samuel H. Kress Collection,Painting
8369,painting,1,West Building,M-035-A,1,West Main Floor Gallery 35 A,S,46118,The Small Crucifixion,c. 1511/1520,Samuel H. Kress Collection,Painting,"https://api.nga.gov/iiif/427e6b08-498e-484f-8ccf-596d093fdf1c/full/!200,200/0/default.jpg",1362,1,artist,German,Matthias Grünewald,German,The Small Crucifixion,1511,oil on panel,Samuel H. Kress Collection,Painting
8369,painting,1,West Building,M-035-A,1,West Main Floor Gallery 35 A,S,119049,Calvary,c. 1470/1480,Patrons' Permanent Fund,Painting,"https://api.nga.gov/iiif/411d388f-e778-47f8-a5e8-0c030fa03aaf/full/!200,200/0/default.jpg",26051,1,painter,German,Master of the Death of Saint Nicholas of Münster,German,Calvary,1470,oil on panel,Patrons' Permanent Fund,Painting
8370,painting,1,West Building,M-035-A,1,West Main Floor Gallery 35 A,W,46177,The Baptism of Christ,c. 1485/1500,Samuel H. Kress Collection,Painting,"https://api.nga.gov/iiif/e09f2884-f3ed-4275-a572-ea5a35769030/full/!200,200/0/default.jpg",1699,1,artist,German,Master of the Saint Bartholomew Altar,German,The Baptism of Christ,1485,oil on panel,Samuel H. Kress Collection,Painting
8370,painting,1,West Building,M-035-A,1,West Main Floor Gallery 35 A,W,123018,The Holy Kinship,c. 1480/1490,Patrons' Permanent Fund,Sculpture,"https://api.nga.gov/iiif/c4c95ba1-df2a-42d8-a816-0f63c3f2387a/full/!200,200/0/default.jpg",26551,1,sculptor,German,South German 15th Century,German,The Holy Kinship,1480,polychromed wood,Patrons' Permanent Fund,Sculpture
8372,painting,1,West Building,M-036,1,West Main Floor Gallery 36,E,41657,Landscape with Merchants,c. 1629,Samuel H. Kress Collection,Painting,"https://api.nga.gov/iiif/e7c96521-c176-435a-a019-3b9f012742ce/full/!200,200/0/default.jpg",1145,1,painter,French,Claude Lorrain,French,Landscape with Merchants,1629,oil on canvas,Samuel H. Kress Collection,Painting
8372,painting,1,West Building,M-036,1,West Main Floor Gallery 36,E,51095,The Judgment of Paris,1645/1646,Ailsa Mellon Bruce Fund,Painting,"https://api.nga.gov/iiif/6f7521dc-a2a8-4c9f-8206-f3db66eccb86/full/!200,200/0/default.jpg",1145,1,painter,French,Claude Lorrain,French,The Judgment of Paris,1645,oil on canvas,Ailsa Mellon Bruce Fund,Painting
8373,painting,1,West Building,M-036,1,West Main Floor Gallery 36,N,41647,Omer Talon,1649,Samuel H. Kress Collection,Painting,"https://api.nga.gov/iiif/d32bae92-8e05-4166-adcb-c7b93fb49c99/full/!200,200/0/default.jpg",1119,1,painter,French,Philippe de Champaigne,French,Omer Talon,1649,oil on canvas,Samuel H. Kress Collection,Painting
8374,painting,1,West Building,M-036,1,West Main Floor Gallery 36,S,32689,Landscape with Peasants,c. 1640,Samuel H. Kress Collection,Painting,"https://api.nga.gov/iiif/286d4b52-4ef8-4758-a9a9-1a0659ec7b88/full/!200,200/0/default.jpg",1478,1,artist,French,Louis Le Nain,French,Landscape with Peasants,1640,oil on canvas,Samuel H. Kress Collection,Painting
8374,painting,1,West Building,M-036,1,West Main Floor Gallery 36,S,41664,The Holy Family on the Steps,1648,Samuel H. Kress Collection,Painting,"https://api.nga.gov/iiif/08ce53a5-b87a-42e8-b7c2-c3dd21d05845/full/!200,200/0/default.jpg",13,1,painter,Other,Anonymous Artist,Other,The Holy Family on the Steps,1648,oil on canvas,Samuel H. Kress Collection,Painting
8375,painting,1,West Building,M-036,1,West Main Floor Gallery 36,W,32692,The Baptism of Christ,1641/1642,Samuel H. Kress Collection,Painting,"https://api.nga.gov/iiif/0ad4855e-760a-476f-bbbb-8164f430b4ec/full/!200,200/0/default.jpg",1798,1,artist,French,Nicolas Poussin,French,The Baptism of Christ,1641,oil on canvas,Samuel H. Kress Collection,Painting
8375,painting,1,West Building,M-036,1,West Main Floor Gallery 36,W,46470,The Assumption of the Virgin,c. 1630/1632,Ailsa Mellon Bruce Fund,Painting,"https://api.nga.gov/iiif/c77f8b64-98a2-4b3c-b270-1863ece147c5/full/!200,200/0/default.jpg",1798,1,artist,French,Nicolas Poussin,French,The Assumption of the Virgin,1630,oil on canvas,Ailsa Mellon Bruce Fund,Painting
8377,painting,1,West Building,M-037,1,West Main Floor Gallery 37,E,41603,Peasant Interior,c. 1645,Samuel H. Kress Collection,Painting,"https://api.nga.gov/iiif/9bb91f84-8284-4a9f-a0bb-71cb599ce764/full/!200,200/0/default.jpg",1478,1,artist,French,Louis Le Nain,French,Peasant Interior,1645,oil on canvas,Samuel H. Kress Collection,Painting
8377,painting,1,West Building,M-037,1,West Main Floor Gallery 37,E,106362,The Martyrdom of Saint Lawrence,c. 1660,Chester Dale Fund,Painting,"https://api.nga.gov/iiif/a397a12f-ba08-4586-bf9d-9d8c099fbdf9/full/!200,200/0/default.jpg",31038,1,painter,French,Jean Baptiste de Champaigne,French,The Martyrdom of Saint Lawrence,1660,oil on canvas,Chester Dale Fund,Painting
8378,painting,1,West Building,M-037,1,West Main Floor Gallery 37,N,46125,Portrait of a Young Man and His Tutor,1685,Samuel H. Kress Collection,Painting,"https://api.nga.gov/iiif/4b3352ab-0eb3-4343-a7b0-79c8dc3ba324/full/!200,200/0/default.jpg",1458,1,artist,French,Nicolas de Largillierre,French,Portrait of a Young Man and His Tutor,1685,oil on canvas,Samuel H. Kress Collection,Painting
8378,painting,1,West Building,M-037,1,West Main Floor Gallery 37,N,50254,"Elizabeth Throckmorton, Canoness of the Order of the Dames Augustines Anglaises",1729,Ailsa Mellon Bruce Fund,Painting,"https://api.nga.gov/iiif/6c86ae6f-7b32-445b-bb42-ac361bbf8ef8/full/!200,200/0/default.jpg",1458,1,artist,French,Nicolas de Largillierre,French,"Elizabeth Throckmorton, Canoness of the Order of the Dames Augustines Anglaises",1729,oil on canvas,Ailsa Mellon Bruce Fund,Painting
